NetworkInterfaceId,SubnetId,Description,Status,PrivateIpAddress,Groups
eni-0442a01638b53aba1,subnet-01a541712fe48b089,Amazon EKS eks-gd-np-re-blue,in-use,10.56.14.149,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0905ce9d1a6ed6ea2,subnet-059d632d655434c91,Network Interface for Transit Gateway Attachment tgw-attach-04c8009e393a57ed6,in-use,10.61.217.45,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-03d3133ede5c6f268,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-0a7385fc8001a7c87,in-use,10.56.9.20,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-00a79486a90500d12,subnet-01a541712fe48b089,ELB a31444c1c2c1c48f18976ca6098c2be4,in-use,10.56.8.24,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d2f1d14ae743f4cd,subnet-01a541712fe48b089,aws-K8S-i-0ca5902ac734867da,in-use,10.56.14.212,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0665b5b18c09c3ac1,subnet-0d1283562a7202a6c,RDSNetworkInterface,in-use,10.56.26.76,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f2c7039a81fe1b17,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-06f39639b854daa36,in-use,10.56.14.216,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0e0e1097097bbdcb6,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-02b4f6b86161acdd9,in-use,10.56.13.57,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-08d668aec7bddb9b5,subnet-01a541712fe48b089,,in-use,10.56.11.131,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0266899488d968826,subnet-01a541712fe48b089,,in-use,10.56.13.106,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-07160c2e58a0f4c09,subnet-01a541712fe48b089,ELB ad7ce4cd6b21f44ce91b2f8d3bb65fbd,in-use,10.56.12.62,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b59ae3e4e3d04ea5,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-0e01374f5d29db5af,in-use,10.56.12.240,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-00e60fe6dad3afa44,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-04e71c48a6be3f2f7,in-use,10.56.10.49,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-014e1c27a726dd976,subnet-01a541712fe48b089,ELB acb87a9703a624484862d672ab23b5c0,in-use,10.56.12.132,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ba53faed2d271ff5,subnet-01a541712fe48b089,aws-K8S-i-0291f8f73ac24bc60,in-use,10.56.10.162,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-026b70837b476b2ef,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-042e7f508967fbd5f,in-use,10.56.9.246,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-07e036bfb3a57f85d,subnet-01a541712fe48b089,Network Interface for Transit Gateway Attachment tgw-attach-0f2671a93e529b7d8,in-use,10.56.15.65,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0aca3f66a836e0657,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-0c8a0d523491b417e,in-use,10.56.12.107,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0df1cc0743bbc0c54,subnet-01a541712fe48b089,VPC Endpoint Interface vpce-0049143a079a6adcc,in-use,10.56.12.232,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f01d58e4119fa55a,subnet-0d1283562a7202a6c,RDSNetworkInterface,in-use,10.56.26.68,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d0262965bf123fd5,subnet-0247a47921066e5c0,,in-use,10.56.23.98,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f2eeb26e47cdf112,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-0e01374f5d29db5af,in-use,10.56.18.227,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f541c6cf8de039da,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-06f39639b854daa36,in-use,10.56.16.56,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-053c940ecee7892d5,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-0049143a079a6adcc,in-use,10.56.16.220,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-030f5932c5cfa73b6,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-04e71c48a6be3f2f7,in-use,10.56.20.160,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-03e33c99bea3ba72a,subnet-0247a47921066e5c0,,in-use,10.56.19.6,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
