"NetworkInterfaceId","SubnetId","Description","Status","PrivateIpAddress","Groups"
"eni-016df70fe2c1a2160","subnet-0247a47921066e5c0","Network Interface for Transit Gateway Attachment tgw-attach-0f2671a93e529b7d8","in-use","10.56.21.163","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ff6319754f1f79cd","subnet-0247a47921066e5c0","ELB a31444c1c2c1c48f18976ca6098c2be4","in-use","10.56.20.44","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0aa1c6b25e47f3315","subnet-0247a47921066e5c0","aws-K8S-i-05b1b4cc1b0fdc0a5","in-use","10.56.18.119","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c978807fefacb9e5","subnet-0247a47921066e5c0","ELB acb87a9703a624484862d672ab23b5c0","in-use","10.56.19.104","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f541c6cf8de039da","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-06f39639b854daa36","in-use","10.56.16.56","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0100bb2e4a6195b7c","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-0a7385fc8001a7c87","in-use","10.56.18.68","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a125dc6141af508d","subnet-00edaef3979087559","Network Interface for Transit Gateway Attachment tgw-attach-04c8009e393a57ed6","in-use","10.61.228.23","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03098a93334b414f0","subnet-0247a47921066e5c0","aws-K8S-i-07576ca4e3b5b5057","in-use","10.56.17.250","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a9cf87648efd4c49","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-0c8a0d523491b417e","in-use","10.56.19.150","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0820ad1561818f092","subnet-0247a47921066e5c0","Amazon EKS eks-gd-np-re-blue","in-use","10.56.20.11","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0d0262965bf123fd5","subnet-0247a47921066e5c0",,"in-use","10.56.23.98","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f2eeb26e47cdf112","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-0e01374f5d29db5af","in-use","10.56.18.227","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-043f7a460f4f7803c","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-02b4f6b86161acdd9","in-use","10.56.20.109","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-04a215d2509d9160b","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-042e7f508967fbd5f","in-use","10.56.22.153","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-030f5932c5cfa73b6","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-04e71c48a6be3f2f7","in-use","10.56.20.160","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-024edcb5efbcab8d2","subnet-0247a47921066e5c0","ELB ad7ce4cd6b21f44ce91b2f8d3bb65fbd","in-use","10.56.19.1","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03e33c99bea3ba72a","subnet-0247a47921066e5c0",,"in-use","10.56.19.6","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-053c940ecee7892d5","subnet-0247a47921066e5c0","VPC Endpoint Interface vpce-0049143a079a6adcc","in-use","10.56.16.220","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f2c7039a81fe1b17","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-06f39639b854daa36","in-use","10.56.14.216","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ba53faed2d271ff5","subnet-01a541712fe48b089","aws-K8S-i-0291f8f73ac24bc60","in-use","10.56.10.162","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ae430bc5d7466751","subnet-01a541712fe48b089","aws-K8S-i-0ca5902ac734867da","in-use","10.56.9.128","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0df1cc0743bbc0c54","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-0049143a079a6adcc","in-use","10.56.12.232","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b642094c6196a4c1","subnet-0d1283562a7202a6c","RDSNetworkInterface","in-use","10.56.26.116","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03528ae99bedb0e42","subnet-01a541712fe48b089","ELB acb87a9703a624484862d672ab23b5c0","in-use","10.56.14.142","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0665b5b18c09c3ac1","subnet-0d1283562a7202a6c","RDSNetworkInterface","in-use","10.56.26.76","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-00e60fe6dad3afa44","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-04e71c48a6be3f2f7","in-use","10.56.10.49","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f01d58e4119fa55a","subnet-0d1283562a7202a6c","RDSNetworkInterface","in-use","10.56.26.68","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-026b70837b476b2ef","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-042e7f508967fbd5f","in-use","10.56.9.246","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0905ce9d1a6ed6ea2","subnet-059d632d655434c91","Network Interface for Transit Gateway Attachment tgw-attach-04c8009e393a57ed6","in-use","10.61.217.45","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0266899488d968826","subnet-01a541712fe48b089",,"in-use","10.56.13.106","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03d3133ede5c6f268","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-0a7385fc8001a7c87","in-use","10.56.9.20","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0e0e1097097bbdcb6","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-02b4f6b86161acdd9","in-use","10.56.13.57","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08d668aec7bddb9b5","subnet-01a541712fe48b089",,"in-use","10.56.11.131","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0aca3f66a836e0657","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-0c8a0d523491b417e","in-use","10.56.12.107","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07e036bfb3a57f85d","subnet-01a541712fe48b089","Network Interface for Transit Gateway Attachment tgw-attach-0f2671a93e529b7d8","in-use","10.56.15.65","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0fa97f7989feb8609","subnet-01a541712fe48b089","ELB ad7ce4cd6b21f44ce91b2f8d3bb65fbd","in-use","10.56.9.29","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b59ae3e4e3d04ea5","subnet-01a541712fe48b089","VPC Endpoint Interface vpce-0e01374f5d29db5af","in-use","10.56.12.240","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b401c0ddaec9b07c","subnet-01a541712fe48b089","ELB a31444c1c2c1c48f18976ca6098c2be4","in-use","10.56.15.132","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-01c7d3d412fab40a9","subnet-0962fbb6ad149af88",,"in-use","10.56.4.245","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08aa2b4c4fc96d700","subnet-0962fbb6ad149af88",,"in-use","10.56.3.182","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-09450216334512b60","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-0049143a079a6adcc","in-use","10.56.2.123","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-06275a24766a541b1","subnet-0812e3a686eb75206","ELB ad7ce4cd6b21f44ce91b2f8d3bb65fbd","in-use","10.56.24.188","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ee044cd2480ccc31","subnet-0812e3a686eb75206","RDSNetworkInterface","in-use","10.56.24.140","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-05817c2dd40355efb","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-06f39639b854daa36","in-use","10.56.0.15","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c03ca2b8e33bb52d","subnet-0962fbb6ad149af88","Amazon EKS eks-gd-np-re-blue","in-use","10.56.5.81","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-007cef271e9466055","subnet-0962fbb6ad149af88","Primary network interface","in-use","10.56.7.232","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-06028646ae57b74b9","subnet-0962fbb6ad149af88","aws-K8S-i-05dbec902706cb9cb","in-use","10.56.1.174","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-09b2e83adad6bdc8c","subnet-0962fbb6ad149af88","aws-K8S-i-0ac8a31cf609a144a","in-use","10.56.0.159","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c8c9a872ee858fde","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-0a7385fc8001a7c87","in-use","10.56.7.2","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0da2967c4b574892a","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-04e71c48a6be3f2f7","in-use","10.56.4.23","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c21d12b31e153ca4","subnet-0812e3a686eb75206","RDSNetworkInterface","in-use","10.56.25.102","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0d8479cc814a871bf","subnet-0962fbb6ad149af88","Network Interface for Transit Gateway Attachment tgw-attach-0f2671a93e529b7d8","in-use","10.56.6.178","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0cb95faf2f8a28959","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-0e01374f5d29db5af","in-use","10.56.7.204","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b6ac5d3e883a3b36","subnet-0962fbb6ad149af88",,"in-use","10.56.1.6","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08f55916742acec7e","subnet-0812e3a686eb75206","ELB acb87a9703a624484862d672ab23b5c0","in-use","10.56.25.9","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ab2d3d6230d3a80f","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-02b4f6b86161acdd9","in-use","10.56.2.119","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-050f066cdc039aa28","subnet-07a149dae81cbce50","Network Interface for Transit Gateway Attachment tgw-attach-04c8009e393a57ed6","in-use","10.61.202.221","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-04cd3023789d0ca7e","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-0c8a0d523491b417e","in-use","10.56.3.88","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0df3e8314bdafe05d","subnet-0812e3a686eb75206","RDSNetworkInterface","in-use","10.56.25.52","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-083e977e58ea0d2de","subnet-0962fbb6ad149af88","VPC Endpoint Interface vpce-042e7f508967fbd5f","in-use","10.56.1.40","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ba079054b5fe4223","subnet-0812e3a686eb75206","ELB a31444c1c2c1c48f18976ca6098c2be4","in-use","10.56.24.19","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-02895f8051fb60794","subnet-0962fbb6ad149af88","aws-K8S-i-0624392ecbb6d6d3c","in-use","10.56.6.105","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-02f5941936c9e9d6f","subnet-0513acea1c1c4d1f9","Network Interface for Transit Gateway Attachment tgw-attach-05ec95ccbe0fca8a4","in-use","10.61.166.155","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-093f470b51a40f5f1","subnet-0513acea1c1c4d1f9","VPC Endpoint Interface vpce-038473e1ee6d5239e","in-use","10.61.163.82","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f54ac35f30a8ca65","subnet-0513acea1c1c4d1f9","Primary network interface","in-use","10.61.168.128","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a24e9a724dad7420","subnet-0db1213247397d5cd",,"in-use","10.61.157.57","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0778eb9ee84affed8","subnet-0db1213247397d5cd","ELB app/env-251070-appelb/dbd641ef5c3df93f","in-use","10.61.151.143","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-096403eec011e0d8c","subnet-0db1213247397d5cd","Network Interface for Transit Gateway Attachment tgw-attach-05ec95ccbe0fca8a4","in-use","10.61.148.108","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07b7352461cf20e64","subnet-0db1213247397d5cd","RDSNetworkInterface","in-use","10.61.156.250","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c39cbc97d034e184","subnet-0db1213247397d5cd","RDSNetworkInterface","in-use","10.61.144.206","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0e16cdcb36adc07c1","subnet-0db1213247397d5cd","Primary network interface","in-use","10.61.147.24","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-090440dab4637c3fa","subnet-0db1213247397d5cd","ELB app/env-252738-appelb/1db4bbc43d790846","in-use","10.61.145.197","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-065e27dc2b840b953","subnet-0db1213247397d5cd","VPC Endpoint Interface vpce-038473e1ee6d5239e","in-use","10.61.147.244","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f8613f0a1e5e8e12","subnet-0db1213247397d5cd",,"in-use","10.61.150.232","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ebee26143812113e","subnet-0db1213247397d5cd","EFS mount target for fs-dfc4c4d8 (fsmt-22454a27)","in-use","10.61.151.184","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c5446e1452843fd5","subnet-0db1213247397d5cd","ELB env-252738-elb-rdp","in-use","10.61.158.46","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b16081bb70429b7d","subnet-0db1213247397d5cd","ELB app/env-251585-appelb/25fd31f8478f7dda","in-use","10.61.156.151","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07a9b9a6b2dadee55","subnet-0db1213247397d5cd","ELB app/env-247760-appelb/84dd00037fe9646f","in-use","10.61.154.158","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0d123a00fb2ee51bb","subnet-0db1213247397d5cd","ELB app/env-265045-appelb/ed67faad8e124533","in-use","10.61.159.133","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-051c7ecef841f8a1f","subnet-08a765fe7af589486","RDSNetworkInterface","in-use","10.61.142.99","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-013478daaf378467c","subnet-08a765fe7af589486",,"in-use","10.61.143.174","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-067ea76add1660892","subnet-08a765fe7af589486","ELB app/env-265045-appelb/ed67faad8e124533","in-use","10.61.132.186","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0be224e5218bd13e4","subnet-08a765fe7af589486",,"in-use","10.61.128.189","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-002e6099792aafdca","subnet-08a765fe7af589486","VPC Endpoint Interface vpce-038473e1ee6d5239e","in-use","10.61.129.203","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c203e871cf0dc29a","subnet-08a765fe7af589486","ELB env-251585-elb-rdp","in-use","10.61.131.68","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-099e559b78f80fd32","subnet-08a765fe7af589486",,"in-use","10.61.128.251","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-09ebcb36a3e230407","subnet-08a765fe7af589486","RDSNetworkInterface","in-use","10.61.134.121","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07c738e351659a59d","subnet-08a765fe7af589486",,"in-use","10.61.138.230","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-090cde29c0bc0aa4a","subnet-08a765fe7af589486","ELB app/env-252738-appelb/1db4bbc43d790846","in-use","10.61.136.180","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-01d8ba45b9f862b08","subnet-08a765fe7af589486","ELB env-265045-elb-rdp","in-use","10.61.139.103","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-031e40fd69667ab95","subnet-08a765fe7af589486",,"in-use","10.61.140.151","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03366ccec702847dd","subnet-08a765fe7af589486","ELB env-247760-elb-rdp","in-use","10.61.136.197","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-085ca3cf9b0d1b6bd","subnet-08a765fe7af589486","ELB env-251585-elb-rdp","in-use","10.61.128.233","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0bc07f82cbbaaf5ed","subnet-08a765fe7af589486",,"in-use","10.61.141.44","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-052d7d66f9d22db8a","subnet-08a765fe7af589486","EFS mount target for fs-dfc4c4d8 (fsmt-2d454a28)","in-use","10.61.136.120","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-06bd3c129035780e7","subnet-08a765fe7af589486",,"in-use","10.61.133.35","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b971ef2658531999","subnet-08a765fe7af589486","Primary network interface","in-use","10.61.139.49","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0cbd6db95370e0f35","subnet-08a765fe7af589486","Primary network interface","in-use","10.61.137.196","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0903fe52b0c0386cc","subnet-08a765fe7af589486","Primary network interface","in-use","10.61.136.51","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-014a58309f9f5f53b","subnet-08a765fe7af589486",,"in-use","10.61.143.42","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0e9626c6298877c11","subnet-08a765fe7af589486",,"in-use","10.61.142.248","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
