"SubnetId","CidrBlock","SubnetName","AvailabilityZone","AvailabilityZoneId","SubnetArn","VpcId"
"subnet-00edaef3979087559","10.61.224.0/20","Private Subnet 3A","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-00edaef3979087559","vpc-058b4949dc7e0eb29"
"subnet-0812e3a686eb75206","10.56.24.0/23","gd-re-k8s-np-DBSubnetAZ1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-0812e3a686eb75206","vpc-0d924e5019db72038"
"subnet-05c7578042932cda1","10.56.28.0/23","gd-re-k8s-np-DBSubnetAZ3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-05c7578042932cda1","vpc-0d924e5019db72038"
"subnet-0247a47921066e5c0","10.56.16.0/21","gd-re-k8s-np-PrivateSubnetAZ3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-0247a47921066e5c0","vpc-0d924e5019db72038"
"subnet-0962fbb6ad149af88","10.56.0.0/21","gd-re-k8s-np-PrivateSubnetAZ1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-0962fbb6ad149af88","vpc-0d924e5019db72038"
"subnet-0d1283562a7202a6c","10.56.26.0/23","gd-re-k8s-np-DBSubnetAZ2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-0d1283562a7202a6c","vpc-0d924e5019db72038"
"subnet-07a149dae81cbce50","10.61.192.0/20","Private Subnet 1A","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-07a149dae81cbce50","vpc-058b4949dc7e0eb29"
"subnet-059d632d655434c91","10.61.208.0/20","Private Subnet 2A","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-059d632d655434c91","vpc-058b4949dc7e0eb29"
"subnet-01a541712fe48b089","10.56.8.0/21","gd-re-k8s-np-PrivateSubnetAZ2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:207975098136:subnet/subnet-01a541712fe48b089","vpc-0d924e5019db72038"
"subnet-08a765fe7af589486","10.61.128.0/20","Private Subnet 1A","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:580624647591:subnet/subnet-08a765fe7af589486","vpc-0c505f3f150d87b08"
"subnet-0513acea1c1c4d1f9","10.61.160.0/20","Private Subnet 3A","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:580624647591:subnet/subnet-0513acea1c1c4d1f9","vpc-0c505f3f150d87b08"
"subnet-0db1213247397d5cd","10.61.144.0/20","Private Subnet 2A","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:580624647591:subnet/subnet-0db1213247397d5cd","vpc-0c505f3f150d87b08"
