"IsDefault","CidrBlock","OwnerId","VpcId","vpcname","account","Region"
"False","10.56.0.0/19","207975098136","vpc-0d924e5019db72038","gd-re-k8s-np","aws-gd-np","us-west-2"
"False","10.61.192.0/18","207975098136","vpc-058b4949dc7e0eb29","aws-gd-np","aws-gd-np","us-west-2"
"False","10.61.128.0/18","580624647591","vpc-0c505f3f150d87b08","aws-gd-corp","aws-gd-corp","us-west-2"
"False","10.61.80.0/20","910466079863","vpc-0e3b8bd9d7091451a","aem-np-vpc","aws-gd-aem-np","us-west-2"
"False","10.62.32.0/20","632444249154","vpc-09320ad2b05f2e4e9","dsm-np-vpc","aws-gd-dsm-np","us-west-2"
"False","10.132.32.0/20","314761225311","vpc-0ce423dd64311ff94","dsm-pd-vpc","aws-gd-dsm-pd","us-west-2"
"False","10.61.64.0/20","191471527424","vpc-06d5ec7c330e25f11","baas-eprf-vpc","aws-gd-baas-eprf","us-west-2"
"False","10.61.0.0/20","223040669651","vpc-0e96d9daff628ae1b","gbr-stg-vpc","aws-gd-baas-stg","us-west-2"
"False","10.61.16.0/20","223040669651","vpc-03f6e5a2f560ce18b","uber-stg-vpc","aws-gd-baas-stg","us-west-2"
"False","10.61.32.0/20","223040669651","vpc-07aef514731d3e22a","intuit-stg-vpc","aws-gd-baas-stg","us-west-2"
"False","10.68.0.0/16","223040669651","vpc-0c65548c2425e09d9","baas-stg-vpc","aws-gd-baas-stg","us-west-2"
"False","10.64.0.0/16","908441563114","vpc-013e26a03263e4489","baas-int-vpc","aws-gd-baas-int","us-west-2"
"False","10.67.0.0/16","716308132724","vpc-0fe052f0c64b39d5a","baas-prf-vpc","aws-gd-baas-prf","us-west-2"
"False","10.61.48.0/20","716308132724","vpc-053a66a2b0edd92e5","uber-perf-vpc","aws-gd-baas-prf","us-west-2"
"False","10.131.0.0/16","262683030539","vpc-028e25b51d6489534","baas-prod-vpc","aws-gd-baas-prod","us-west-2"
"False","10.133.16.0/20","262683030539","vpc-050b88d7f97ffbf99","uber-prod-vpc","aws-gd-baas-prod","us-west-2"
"False","10.133.0.0/20","262683030539","vpc-0d2a0ebcac315c99a","gbr-prod-vpc","aws-gd-baas-prod","us-west-2"
"False","10.133.32.0/20","262683030539","vpc-072496937c8129958","intuit-prod-vpc","aws-gd-baas-prod","us-west-2"
"False","10.66.0.0/16","500545396857","vpc-0099a20e72898796f","baas-pie-vpc","aws-gd-baas-pie","us-west-2"
"False","10.69.0.0/16","257873977405","vpc-0030891955f29f763","baas-sandbox-vpc","aws-gd-baas-sandbox","us-west-2"
"False","10.100.0.0/16","257873977405","vpc-0d98233e6be9224bb","SpinnakerVPC spinnaker","aws-gd-baas-sandbox","us-west-2"
"False","192.168.0.0/16","257873977405","vpc-0a50c3d583c9d1022","eksctl-eksworkshop-eksctl-cluster/VPC","aws-gd-baas-sandbox","us-west-2"
"False","10.63.0.0/16","159865129828","vpc-0465efed498b08db0","baas-dev-vpc","aws-gd-baas-dev","us-west-2"
"False","10.65.0.0/16","372834007176","vpc-00357bc2b247b9c8b","gd-baas-qa-vpc","aws-gd-baas-qa","us-west-2"
"False","10.62.16.0/20","167692690747","vpc-08ae693aaee32a1a2","sharedsvc-np-dsn-vpc","aws-gd-sharedsvc-np","us-west-2"
"False","10.62.0.0/20","167692690747","vpc-04611e91b8e2f6d72","sharedsvc-np-ad-vpc","aws-gd-sharedsvc-np","us-west-2"
"False","10.62.240.0/20","167692690747","vpc-0da7757ff72ee784f","pan-ssnp-vpc","aws-gd-sharedsvc-np","us-west-2"
"False","10.132.0.0/20","805088162977","vpc-06af2a9f3b3aafe4d","StackSet-AWS-Landing-Zone-SharedServicesAccountVPC-4898996c-66d7-43ae-a90b-0db0961bb2cd","aws-gd-lz-sharedsvc","us-west-2"
"False","10.132.16.0/20","805088162977","vpc-0b299acf9539b21a3","sharedsvc-dsn-vpc","aws-gd-lz-sharedsvc","us-west-2"
"False","10.132.48.0/20","805088162977","vpc-00e6dab9f72c07957","pan-prod-vpc","aws-gd-lz-sharedsvc","us-west-2"
"False","10.133.48.0/23","406649126167","vpc-0810c0b5930b80aff","infosec-prod-vpc","aws-gd-lz-security","us-west-2"
"False","10.61.96.0/19","521562510525","vpc-028da273504083fa2","aws-gd-k8s-np","aws-gd-k8s-np","us-west-2"
"False","10.136.0.0/19","204326685116","vpc-025ca1d4a3e451ee8","k8s-prod-cde-vpc","aws-gd-k8s-prod-cde","us-west-2"
"False","10.136.32.0/19","774409177346","vpc-0e0740439109d393d","k8s-prod-vpc","aws-gd-k8s-prod","us-west-2"
"False","10.130.0.0/16","674363897168","vpc-02de4f6b4977c7c76","workspace-prod-vpc","aws-gd-workspaces","us-west-2"
"True","172.31.0.0/16","864421101527","vpc-819dcee9",,"awsgdredshift","us-west-1"
"False","172.16.0.0/16","864421101527","vpc-53a78335",,"awsgdredshift","us-west-2"
"False","10.169.0.0/16","864421101527","vpc-04b1cf6f","Prod-ETL-RedShift-VPC","awsgdredshift","us-west-2"
"True","172.31.0.0/16","864421101527","vpc-3d36c256",,"awsgdredshift","us-west-2"
"False","10.58.0.0/16","782171659116","vpc-ada314ca","PaloAlto-Sub1","aws-gd-vrasandbox","us-west-1"
"False","10.59.0.0/16","782171659116","vpc-33a61154","PaloAlto-Sub2","aws-gd-vrasandbox","us-west-1"
"False","10.57.0.0/16","782171659116","vpc-fabf089d","PaloAlto-Transit ","aws-gd-vrasandbox","us-west-1"
"False","10.60.0.0/16","782171659116","vpc-0da73f69","vRA-Sandbox-VPC01","aws-gd-vrasandbox","us-west-1"
"False","10.57.0.0/24","782171659116","vpc-bb4cd4c2","transitVpc","aws-gd-vrasandbox","us-west-2"
"True","172.31.0.0/16","782171659116","vpc-4be3fd2c","vra_default_vpc","aws-gd-vrasandbox","us-west-2"
"False","10.199.254.0/23","890056794672","vpc-6f9ded0b","prod-berkshire prod-berkshire-vpc-stack","aws-gd-gdd","us-west-1"
"False","10.62.0.0/16","647241719911","vpc-1df05a64","AWS Non-Prod VPC","aws-gd-net-np","us-west-2"
"False","10.63.0.0/16","647241719911","vpc-009e4363369d87c39","panwVPCNew","aws-gd-net-np","us-west-2"
"False","10.132.64.0/20","536368967722","vpc-0da19e149bec7f1ad","PROD-PA-TGW-VPC","aws-gd-net-prod","us-west-2"
"False","10.131.0.0/16","536368967722","vpc-51f45e28","AWS Prod VPC","aws-gd-net-prod","us-west-2"
